#,D1,D2,D3,D4,D5,D6,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Open-ended question,,,,,,,,,,,,,
1,Male,62,Public Enterprise,Project Manager,35,20 or more,2,4,4,5,4,4,4,4,4,5,5,5,5,"I think business analysis and capturing business requirements are key to project success. Stakeholder management is another important component that is not addressed here. Moreover, the pace of the project is important- doing tasks too quickly results in failure as well. So, the way the project is implemented, whether agile or linear, is also key to its success. Applying project management principles in a structured way would also avoid failures. Good luck.",,,,,,,,,,,,,
2,Male,61,Foreign Capital Enterprise,Manager/Director,15,20 or more,4,2,3,4,5,5,5,5,5,5,4,4,4,No answer,,,,,,,,,,,,,
3,Male,61,Mixed Enterprise (Public-Private partnership),Manager/Director,17,20 or more,2,3,4,5,4,5,4,5,4,5,4,4,4,No answer,,,,,,,,,,,,,
4,Male,60,Private Enterprise,System Architect,23,20 or more,3,3,3,5,4,5,5,5,5,5,5,4,4,"Ambiguous scope boundaries,  Scope creep, Overdoing agile (orthodox agile) and less result focus,  Lack of support and ownership from top management,  Team immaturity in terms of functioning as a team and technical aspect, Lack of “structure” and governance,  Inability to manage and steer the customer, Unrealistic targets and overpromising, Belated projects are becoming obsolete anymore ",,,,,,,,,,,,,
5,Male,60,Private Enterprise,Manager/Director,20,20 or more,2,4,4,5,4,4,4,4,4,5,5,4,4,"The failure to clarify customer expectations, analysis, and scope; inadequate planning, analysis, and design; not managing ongoing changes after the project has started with change management; not establishing a sufficiently competent and experienced team; and proceeding with inadequate, weak solutions found on the internet due to a cost-focused approach are the main failure factors.",,,,,,,,,,,,,
6,Male,60,Private Enterprise,Owner,12,20 or more,3,2,3,4,4,5,5,4,5,5,5,4,4,"Prolonged life cycles - hence changing key resources, changing business needs, changes in scope, elimination of important key features, oversight of relevant factors",,,,,,,,,,,,,
7,Female,59,Public Enterprise,Manager/Director,11,20 or more,4,3,4,4,4,4,5,5,4,4,4,4,4,No answer,,,,,,,,,,,,,
8,Male,59,Mixed Enterprise (Public-Private partnership),Manager/Director,16,20 or more,2,3,4,5,4,4,5,5,5,5,5,4,4,No answer,,,,,,,,,,,,,
9,Male,58,Private Enterprise,Manager/Director,22,20 or more,3,3,3,3,5,5,5,5,3,4,4,4,4,No answer,,,,,,,,,,,,,
10,Male,58,Private Enterprise,Manager/Director,11,11 to 15,2,2,3,4,4,5,4,4,5,4,4,4,4,"Project sponsors and adaptation by customers are one of the most important parts of any project. It is not always about completing a project. How it is perceived by end users, supported by other teams, and communicated within the organization makes a huge difference in the lifecycle and success of a project.",,,,,,,,,,,,,
11,Male,58,Private Enterprise,Manager/Director,3,20 or more,2,3,4,4,5,5,5,5,4,5,5,5,4,Lack of requirements. Poor requirements analysis. Insufficient verification and validation activities.,,,,,,,,,,,,,
12,Female,58,Public Enterprise,Manager/Director,23,11 to 15,3,1,3,5,4,5,5,5,5,4,4,4,4,No answer,,,,,,,,,,,,,
13,Male,58,Private Enterprise,Owner,4,20 or more,4,2,2,5,5,5,4,4,2,5,5,5,4,"I've mostly been involved in projects for embedded software and, to a lesser extent also, hardware. It is surprising to see how hardware development (in my experience) seems to be so much better predictable than software development. I'm not sure why that is. Is it better understood, perhaps? Regarding question 15, I think it is not necessary for an IT project manager to be knowledgeable about the details, but it does help.",,,,,,,,,,,,,
14,Male,58,Private Enterprise,Technical Support,3,20 or more,4,2,4,4,2,2,2,2,2,5,5,4,4,"The scope of work is not clearly defined. Bad-managed analysis and design phase
Misalignment between expectations and delivery capabilities combined with poor knowledge or understanding of required equipment and human resources needed to deliver successfully",,,,,,,,,,,,,
15,Male,57,Private Enterprise,Manager/Director,22,16 to 20,1,4,4,5,4,5,4,5,4,4,4,5,4,Unreasonable timeliness and budget constraints.,,,,,,,,,,,,,
16,Male,57,Foreign Capital Enterprise,Manager/Director,16,20 or more,2,3,4,5,5,5,5,4,4,5,5,4,4,Limited Budget,,,,,,,,,,,,,
17,Male,57,Private Enterprise,Manager/Director,3,20 or more,3,2,3,5,5,5,5,5,5,5,5,5,4,"At the beginning of the project, there was a failure to clearly define requirements, project stakeholders, and the responsibilities of stakeholders. Trying to run the project with personnel who do not have sufficient knowledge.",,,,,,,,,,,,,
18,Male,57,Private Enterprise,Owner,30,6 to 10,1,4,4,5,5,4,5,4,4,5,5,5,3,"Projects are mostly done in the public sector just for the sake of work, while in the private sector, they are carried out with increasing and changing expectations. The management team thinks that project management practices take time, and the project manager has to do all kinds of work, including project management, analysis, and programming.",,,,,,,,,,,,,
19,Male,57,Private Enterprise,Owner,28,20 or more,3,4,4,4,5,5,4,4,4,5,5,5,4,Constantly changing technologies that cannot be predicted in advance.,,,,,,,,,,,,,
20,Male,57,Private Enterprise,Owner,30,20 or more,5,1,1,3,4,5,5,5,5,4,4,5,4,No answer,,,,,,,,,,,,,
21,Male,57,Foreign Capital Enterprise,Manager/Director,16,20 or more,2,3,3,4,5,5,5,5,5,5,5,5,4,No answer,,,,,,,,,,,,,
22,Male,57,Private Enterprise,Project Manager,11,20 or more,2,4,4,5,4,5,5,5,5,5,5,4,4,No answer,,,,,,,,,,,,,
23,Female,57,Private Enterprise,Owner,29,20 or more,3,2,4,5,4,5,5,5,5,4,4,4,4,No answer,,,,,,,,,,,,,
24,Male,57,Private Enterprise,Owner,5,20 or more,2,2,2,4,4,5,5,5,4,4,4,5,4,"The lack of awareness about the concept of project management. Culturally, not having an idea about concepts such as quality, planning, root cause analysis, and pattern analysis.",,,,,,,,,,,,,
25,Male,57,Private Enterprise,Owner,29,20 or more,2,4,4,4,4,4,4,4,4,4,4,4,4,Not conducting tests and certifications in accordance with standards.,,,,,,,,,,,,,
26,Male,56,Private Enterprise,Manager/Director,8,20 or more,2,2,4,4,4,4,4,4,4,4,4,4,4,No answer,,,,,,,,,,,,,
27,Male,56,Private Enterprise,Project Manager,12,6 to 10,3,2,4,4,5,5,5,5,5,4,4,4,4,Any lack of coordination within the team negatively affects the project.,,,,,,,,,,,,,
28,Male,56,Private Enterprise,Manager/Director,2,1 to 5,2,2,2,4,4,5,5,4,3,5,5,4,4,No answer,,,,,,,,,,,,,
29,Male,56,Private Enterprise,Owner,27,20 or more,2,2,4,3,5,5,4,4,4,5,5,4,4,"Cheapness, ignorant customers, periods of economic crisis, force majeure.",,,,,,,,,,,,,
30,Female,56,Private Enterprise,Manager/Director,12,6 to 10,3,4,4,4,5,5,5,4,3,5,5,4,4,No answer,,,,,,,,,,,,,
31,Male,56,Private Enterprise,Owner,29,16 to 20,2,2,3,4,4,5,5,5,5,4,4,4,4,"Lack of a sponsor, poor management of scope, failure to ensure the involvement of project stakeholders, poor management of resources, insufficient dedication of the project team, not using agile methodology.",,,,,,,,,,,,,
32,Male,56,Private Enterprise,Manager/Director,4,1 to 5,2,2,4,4,5,5,5,5,5,5,5,4,4,Project sponsors do not give enough importance to the project and avoid motivating the project team sufficiently.,,,,,,,,,,,,,
33,Male,56,Private Enterprise,Project Manager,12,20 or more,2,1,3,4,4,5,4,5,3,4,4,5,5,"For a project to be successful, the full support of the project owner and sponsor is necessary; if top management does not accept and provide the necessary support, the project cannot be completed, and even if it is, it will not be implemented.",,,,,,,,,,,,,
34,Female,56,Private Enterprise,Software Developer,1,11 to 15,3,3,4,5,2,4,4,4,3,4,4,5,4,No answer,,,,,,,,,,,,,
35,Male,56,Private Enterprise,Manager/Director,4,1 to 5,2,2,4,4,5,5,5,5,5,5,5,4,4,"Knowledge, experience, and expertise.",,,,,,,,,,,,,
36,Female,56,Private Enterprise,System Analyst,1,20 or more,2,3,3,4,4,4,4,4,4,5,5,4,4,Please refer to the Agile Manifesto.,,,,,,,,,,,,,
37,Male,56,Private Enterprise,Owner,3,20 or more,2,3,4,5,2,4,5,5,3,4,4,5,4,No answer,,,,,,,,,,,,,
38,Male,56,Private Enterprise,Manager/Director,27,20 or more,3,3,3,4,4,5,5,4,4,5,5,5,4,The project manager tries to solve every problem on their own and does not inform stakeholders about negative developments in a timely manner.,,,,,,,,,,,,,
39,Male,56,Public Enterprise,Manager/Director,17,1 to 5,2,3,4,4,4,5,4,3,3,5,5,5,4,No answer,,,,,,,,,,,,,
40,Male,56,Private Enterprise,Owner,3,20 or more,2,3,4,5,2,4,5,5,3,4,4,5,4,The customer is unsure of what to do with the project output and not having the project carried out by a competent IT firm.,,,,,,,,,,,,,
41,Male,55,Private Enterprise,Manager/Director,10,6 to 10,2,3,2,3,5,4,4,5,4,5,5,4,4,No answer,,,,,,,,,,,,,
42,Male,54,Private Enterprise,Sales Personnel,2,20 or more,2,2,3,4,4,4,4,5,5,5,5,5,4,"There is no direct relationship between doing the work and making the payment for public projects. Political connections are influential. In private sector projects, the project owner is generally not knowledgeable and prefers to buy products instead of consulting services.",,,,,,,,,,,,,
43,Male,53,Private Enterprise,Owner,5,20 or more,3,4,4,5,5,5,4,4,3,5,5,5,4,"The most important factor affecting the failures in IT projects is the perception that these projects are seen as automation tasks. The IT project team often approaches and works on the project in this way. However, one of the most important goals of a good IT project should be to advance conventional working structures. IT projects that save computers from simply counting data and make them capable of data analysis make a difference.",,,,,,,,,,,,,
44,Male,52,Private Enterprise,Manager/Director,2,20 or more,1,2,3,5,4,5,4,4,4,4,4,5,4,No answer,,,,,,,,,,,,,
45,Male,52,Private Enterprise,Manager/Director,14,20 or more,1,4,4,5,4,5,5,4,3,4,4,5,4,"The failure to accurately identify scope, schedule, and budget, the lack of PMO and culture in institutions, the institution's organizational structure not being suitable for project management, insufficient support from top management...",,,,,,,,,,,,,
46,Male,52,Private Enterprise,Manager/Director,1,20 or more,2,2,4,5,5,5,4,4,3,5,5,5,4,No answer,,,,,,,,,,,,,
47,Female,52,Private Enterprise,Owner,4,1 to 5,3,2,4,4,5,5,5,5,5,4,4,5,4,"Technical inadequacy and the ""we can handle everything"" mentality. The customer is unsatisfied and shifts even their problems onto the project (to defend themselves against top management).",,,,,,,,,,,,,
48,Male,52,Private Enterprise,Owner,24,20 or more,4,2,3,5,4,5,5,5,4,5,5,5,4,No answer,,,,,,,,,,,,,
49,Male,52,Private Enterprise,Owner,20,1 to 5,3,2,3,4,4,5,5,5,3,4,4,5,4,Trying to establish high-performance infrastructure with a limited budget.,,,,,,,,,,,,,
50,Male,52,Private Enterprise,Manager/Director,17,20 or more,2,4,4,4,5,5,4,4,5,4,4,4,4,"The customer thinks everything will happen simultaneously, like a magic wand. Forcing the internal part used to the old structure to change results in the problem becoming unsolvable.",,,,,,,,,,,,,
51,Female,52,Private Enterprise,Manager/Director,12,11 to 15,4,2,4,4,5,4,4,5,3,5,5,4,4,No answer,,,,,,,,,,,,,
52,Male,52,Private Enterprise,Owner,24,20 or more,4,2,3,5,4,5,5,5,4,5,5,5,4,The management level does not own the project.,,,,,,,,,,,,,
53,Male,51,Private Enterprise,Owner,7,20 or more,1,4,4,5,4,5,5,4,5,4,4,5,4,Qualification,,,,,,,,,,,,,
54,Male,51,Private Enterprise,CEO,20,20 or more,4,2,3,4,5,4,4,5,4,4,4,5,4," Team, time, and budget constraints, frequent job changes of IT personnel, rapid technological changes, and the project not being suitable for the current time.",,,,,,,,,,,,,
55,Male,51,Private Enterprise,Owner,19,6 to 10,2,2,3,4,5,5,5,5,2,4,4,4,4,"The team carrying out the project should generally have more knowledge about the subject than the project owner and be familiar with the technical, legal, and administrative processes. Still, they should also benefit from the project owner's experience with the right questions.",,,,,,,,,,,,,
56,Male,51,Public Enterprise,Manager/Director,20,20 or more,2,4,4,5,4,5,5,5,5,4,4,5,4,No answer,,,,,,,,,,,,,
57,Male,50,Private Enterprise,Manager/Director,12,20 or more,2,4,4,4,4,5,5,5,4,4,4,4,4,No answer,,,,,,,,,,,,,
58,Male,50,Private Enterprise,Owner,27,1 to 5,5,5,5,5,1,2,1,2,1,4,4,4,4,Customer Budget Problem,,,,,,,,,,,,,
59,Male,50,Private Enterprise,Project Manager,8,1 to 5,3,2,4,5,5,5,5,5,5,4,4,4,3,The inability to establish a balance between scope and time.,,,,,,,,,,,,,
60,Male,50,Private Enterprise,Manager/Director,22,6 to 10,2,4,4,4,4,5,5,5,4,5,5,5,4,"Unfortunately, there are problems wherever there are people. Especially in a sector like IT, despite the need for high amounts of money, management trying to cut the necessary fees (including the number of personnel) is really annoying. In addition, extra and unpaid overtime, and even just saying ""good job"" as a motivation, like charity. Unfortunately, there are those who even find this too much.",,,,,,,,,,,,,
61,Male,50,Foreign Capital Enterprise,Sales Personnel,15,20 or more,2,4,4,5,4,5,5,5,4,4,4,4,4,"The lack of involvement or insufficiency of field experts in the project team leads to communication and expectation issues between the project owner and implementers. The lack or insufficiency of support from managers for the project. Not forming the right team. Especially in public projects, the inadequacy of the individuals involved on the public side.",,,,,,,,,,,,,
62,Male,49,Private Enterprise,Project Manager,1,1 to 5,3,5,5,5,4,4,3,5,5,5,5,5,4,No answer,,,,,,,,,,,,,
63,Male,49,Private Enterprise,Manager/Director,16,16 to 20,2,3,4,4,4,4,4,4,4,5,5,4,4, Inadequacy on all sides.,,,,,,,,,,,,,
64,Male,49,Private Enterprise,Project Manager,24,20 or more,3,3,3,5,4,4,4,4,4,5,5,5,4,The inadequacy of consultants and the high expectations of project owners due to the rosy picture drawn by sales personnel.,,,,,,,,,,,,,
65,Male,49,Mixed Enterprise (Public-Private partnership),System Architect,23,20 or more,2,2,2,4,5,5,4,5,4,5,5,4,4,"The failure to clearly define project outputs and key performance indicators.
Management, procurement, finance, lack of education, or insufficient knowledge.",,,,,,,,,,,,,
66,Male,49,Private Enterprise,Manager/Director,15,20 or more,2,2,4,5,5,4,5,5,4,5,5,5,4,No answer,,,,,,,,,,,,,
67,Male,49,Private Enterprise,Owner,3,20 or more,2,3,3,3,4,4,4,4,4,5,5,4,4,No answer,,,,,,,,,,,,,
68,Male,49,Private Enterprise,Technical Support,5,20 or more,1,4,4,5,4,4,4,4,4,5,5,4,5,"The inability to achieve a healthy combination of people, processes, and technology in IT projects and many other projects leads to project failures. The right people with the required competencies should be selected for the project. Those who know the technology may not fully understand the process. Or those who understand the process may not use the right technology. Achieving this harmony greatly contributes to the successful completion and continuity of projects. Good luck.. good work.",,,,,,,,,,,,,
69,Male,48,Private Enterprise,Manager/Director,12,6 to 10,3,1,4,4,4,5,5,4,3,4,4,5,4,Stakeholders not owning or believing in the project.,,,,,,,,,,,,,
70,Male,48,Private Enterprise,Owner,29,20 or more,2,3,4,5,4,5,4,4,4,4,4,5,4,Tender system.,,,,,,,,,,,,,
71,Male,48,Mixed Enterprise (Public-Private partnership),Manager/Director,8,11 to 15,2,2,4,4,5,5,4,3,3,4,4,4,5,"Insufficient planning due to coordination with those in need, the failure to detail needs, leading to requests for changes after a certain period. The inability of managers to foresee the savings brought by technology leads to the preference for cheap solutions due to the high initial cost.",,,,,,,,,,,,,
72,Male,47,Public Enterprise,Manager/Director,3,6 to 10,2,2,3,5,4,4,4,4,4,4,4,5,4,No answer,,,,,,,,,,,,,
73,Male,47,Foreign Capital Enterprise,System Analyst,19,11 to 15,2,4,4,4,3,4,5,5,5,4,4,4,4,No answer,,,,,,,,,,,,,
74,Male,46,Private Enterprise,Manager/Director,14,20 or more,5,1,3,4,4,4,3,4,4,5,5,5,5,No answer,,,,,,,,,,,,,
75,Male,46,Private Enterprise,Owner,9,20 or more,3,2,3,4,5,5,4,5,5,5,5,5,5, Technological developments affect long-term projects by the time they are completed.,,,,,,,,,,,,,
76,Female,45,Private Enterprise,Owner,5,20 or more,3,3,3,4,4,4,4,4,4,4,4,4,4,"The education system, the effectiveness of the process understanding rather than the product understanding.",,,,,,,,,,,,,
